word,freq
영화로,729
봤어요,726
류,724
절대,722
의미,721
보세요,720
있고,712
세상,711
만드는,711
위해,708
력,707
식,705
싶다,703
몇,700
♥,698
아직도,697
뻔한,697
"""",692
이라고,691
도대체,690
미국,689
해도,688
명,688
너,687
앞,687
공포영화,685
걍,683
오,683
보니,682
웃음,681
설정,679
무엇,677
마다,674
나도,673
아무,673
7,673
수작,665
물,664
주고,662
어,656
봄,655
뭘,652
데,649
우리나라,649
좋아하는,649
남,643
초반,643
좋았다,643
출연,643
OOO,641
추억,636
세,635
사실,635
5,634
엄청,633
보는내내,631
남는,631
장난,631
안되는,630
지루함,630
준다,630
이야,629
한국영,626
가지,622
시나리오,620
주는,618
된다,617
분위기,617
팬,615
관객,614
시대,613
좋아요,611
지루하고,608
반,606
졸작,603
살,603
든,603
자신,601
이딴,600
소리,599
감정,597
봤던,597
같아요,597
최고다,595
접,595
오늘,589
이지만,588
영화관,587
엄마,585
엔딩,585
주,583
결국,583
정신,581
제발,580
인상,577
준,575
더빙,573
포스터,573
캐스팅,573
문제,573
음,572
라면,572
구,569
평가,569
코믹,568
어떤,567
~~~,567
니까,566
아무리,566
얼마나,564
될,561
엉,559
신,555
그저,555
애니메이션,555
함께,555
멋진,554
!!!!,551
몰입도,548
괜찮은,546
킬링타임,544
봐서,544
했던,541
강추,541
어릴,541
배경,541
티비,541
재밌음,539
뒤,537
8,535
대해,535
첨,535
맘,527
스릴,525
같은데,525
충격,524
개연,523
질,521
만화,521
건가,519
전쟁,519
아니,518
책,518
그렇게,518
얘기,517
머리,517
구성,516
ㅜ,515
예술,515
갈수록,512
매우,512
보단,511
머,511
싶은,509
얼굴,509
웃기,508
까,508
후회,507
하면서,507
큰,506
이름,506
울,506
재밌는,506
기도,505
9,504
어디,504
너무나,504
옛날,504
영화인,501
나온,501
집중,500
이후,495
않는다,495
조,495
장르,495
꽤,492
집,491
봐라,491
지루한,491
총,488
하는데,485
주연,485
날,484
만들어,483
그래서,481
억지,481
원,480
간,480
모르겠다,479
존나,479
지루하다,478
진,478
???,476
다큐,475
상황,475
누구,475
재미없음,473
비,473
이리,471
+,470
글,470
",,,",468
짜증,467
씬,467
언제,466
시즌,466
아직,465
예전,462
보는데,462
후반,461
역사,461
다운,461
먹,460
어느,458
B,458
아님,457
걸작,457
누가,456
마세요,455
여기,455
본다,452
약간,452
자기,450
실화,449
상,448
했지만,447
소름,446
그것,445
그나마,444
분들,444
인물,443
발연기,442
등,441
그대로,439
훨씬,439
방송,438
봤음,436
시절,436
않다,435
~!,435
부,433
아까,431
없어,431
보,430
비디오,430
할수,430
휴,429
만점,429
한마디,428
판,428
동안,428
대체,427
재밌고,427
아들,427
다음,427
간만,427
소설,426
CG,426
사회,426
됨,426
로맨스,425
초딩,424
비교,424
하기,423
봤지만,423
이었다,421
6,421
감성,420
네이버,420
나와서,418
꿈,418
여배우,416
전체,415
여주,412
해야,411
없네,410
죠,409
좋은데,407
라도,407
같음,405
코,402
성룡,401
나이,401
이라도,398
;;;,398
나라,398
편이,398
만큼,397
였습니다,396
재,395
없었다,393
어렸을,392
혼자,391
재미있어요,391
삼류,391
순간,390
없어서,390
아쉽다,390
열,390
년,388
교훈,388
보다는,388
ㅉㅉ,386
빨리,386
그만,384
가는,384
존재,384
하네요,384
힘,384
미친,381
바로,380
주제,379
어설픈,379
낸,378
목소리,375
에요,375
......,375
낭비,374
진정한,374
장,373
재밋,370
죽,369
굳,367
거의,367
당신,366
쯤,365
말고,364
안보,364
몇번,364
질질,362
는데,361
짜리,360
잔잔한,359
라니,358
재미있다,358
줄거리,358
상당히,356
판타지,355
딸,355
있지만,355
되고,354
좋아,354
갑자기,354
이번,353
점주,353
아버지,353
좀비,353
에선,352
보여주는,351
피,351
그러나,351
전부,350
의도,350
모,349
되어,349
재밌네요,349
어른,349
상영,347
하며,347
ㅎㅎㅎ,346
실제,346
소,345
각본,345
시청률,344
믿고,343
있을까,342
제작,342
만하,341
으로도,341
맛,340
난다,340
평론가,340
곳,339
봤네요,338
단,338
당,338
바,337
버린,337
답,336
한편,336
땜,336
화면,336
하네,335
필요,335
재미있는,334
비해,334
그녀,333
히,333
나온다,332
사,332
같네요,332
극장판,332
쳐,332
간다,331
/,331
막,330
란,330
10년,329
중국,329
평,329
대로,328
되지,327
있어서,327
이하,327
볼때,326
있는데,326
세계,326
에서도,325
굉장히,325
밑,325
형,324
훌륭한,323
가치,323
그런지,323
선,323
발,322
일단,322
관람,322
좋네요,322
있어,321
똥,321
저런,321
스타일,321
참고,320
선택,320
터,319
복수,319
성우,319
뻔,318
요소,318
항상,317
올,316
TV,316
둘,316
에서는,315
어디서,314
첫,314
봐야,314
햇,314
온,313
역,313
흥행,312
그때,311
없네요,311
해주는,311
어린,311
모르고,310
거기,310
더욱,309
여러,309
래,308
치고,306
진행,306
이냐,306
좋음,306
슬픈,305
라서,305
점점,304
물론,303
보는게,303
였음,302
또한,302
아빠,301
수가,301
역대,301
편집,300
인거,299
완성,299
전형,299
어이,299
멜로,298
했음,298
재미없는,298
초,298
화이팅,297
새,297
ㅋㅋㅋㅋㅋ,296
상미,296
술,295
충분히,295
더럽게,295
이에요,295
해준,294
드,294
짓,294
ㅠㅠㅠ,294
새로운,293
씩,293
tv,293
불륜,292
에겐,292
개그,291
거지,290
귀,290
잠,289
알았는데,289
군,289
엉망,288
예상,288
사건,287
미화,287
중반,286
낫다,286
병맛,286
~!!,285
무,285
그게,285
꿀잼,285
어쩔,284
설명,284
나옴,283
있음,282
키,282
일이,282
과거,282
만에,281
좋겠다,281
프랑스,281
배,281
재밌는데,280
따,280
나오고,279
손,278
흥미진진,278
-_-,278
나올,278
도저히,278
노력,277
원래,277
댓글,276
깊은,276
그래픽,276
티,276
죽음,276
척,276
리,276
미,275
흥미,275
무조건,275
취향,274
거리,274
였어요,274
몸,274
현,273
않음,273
하는게,273
여서,273
알았다,273
있게,272
안된다,272
한다는,272
자극,271
따뜻한,271
화가,271
good,271
화보,269
만으로도,269
같아,269
대단한,269
감상,269
새끼,268
아닌가,267
암,266
관,266
학교,266
아까워,265
예,265
흠,264
ost,264
괜히,264
자꾸,263
같습니다,263
:,262
20,262
예고편,262
오히려,262
좋았어요,261
액션영화,261
며,260
속편,260
바보,260
심리,260
결혼,260
억,260
헐,259
아저씨,259
엄청난,259
게임,258
재밌었다,258
♡,257
이래,256
잘만,256
연기자,255
안됨,255
만이,255
법,255
있을,255
기대하고,255
보이,254
맨,254
마무리,254
천재,253
관계,253
이라니,252
땐,252
야할,252
귀신,251
ㄷㄷ,251
양,251
억지로,251
표정,251
가서,250
봤을,250
되,250
하하,250
전설,250
SF,250
하는지,249
최근,249
느끼게,249
현재,249
영환,249
상상,248
높은,248
유치,248
산,247
꺼,247
나쁜,247
젠,247
짐,247
전편,247
지루,247
순,246
드는,246
대작,245
촬영,245
아쉬움,245
오래,245
따라,244
오빠,244
완벽한,244
다가,243
대한민국,243
하는거,243
타임,243
그닥,243
조차,242
재미있고,242
길,242
우연히,241
타,241
회,240
재미없고,240
만의,240
마,239
90년,239
묘사,239
메세지,239
엇,239
존,239
스타,239
철학,239
일까,238
ㅇ,238
동화,238
있었다,238
그렇고,238
프로그램,238
그림,236
조연,235
프로,235
동,235
살다,235
2시간,235
예요,233
쓴,232
전달,232
유치한,232
이미,232
역할,231
짜,231
서로,231
유머,231
>,231
아니면,230
나중,230
전작,230
등장,230
소녀,230
경찰,230
그런데,230
지루하지,229
스러운,229
무비,229
먼저,229
졸라,229
다행,228
모르는,228
볼수,228
정,228
노,227
했으면,227
받아,227
마치,227
망작,227
재미없어,227
봣,227
살인,226
먹고,226
다만,226
특유,225
유치하고,225
놔,225
아쉬운,225
하냐,225
주의,225
되었다,225
공,225
힘든,224
런가,224
100,224
이며,224
보이는,224
비슷한,223
관심,223
재밌었어요,222
통해,222
행동,222
환상,222
아니지만,221
않았다,221
아닐까,221
미래,221
인정,221
이면,220
맞는,220
바람,220
입,220
사이,219
비추,219
노출,219
예산,218
청춘,218
으,218
해요,218
같아서,218
지루해,218
안되고,218
만들지,218
왕,217
군대,217
리메이크,217
D,216
깊이,215
희망,215
감사합니다,214
보시길,214
보고싶다,214
안나,213
지난,213
생,213
재밌어,213
반개,212
왠지,212
좋았음,212
께,212
필요없다,212
ㅅㅂ,212
80년,212
느낄,211
제작비,211
돼,211
재미있음,211
보고나서,211
생애,210
영웅,210
효과,210
좋았습니다,210
봤으면,210
있나,209
아닌데,209
.......,209
OST,209
진부한,209
외,209
좋았고,209
긴,209
화려한,208
용도,208
손발,208
과정,207
얼,207
너무나도,206
대의,206
케이블,206
평생,206
시도,206
만들,206
이상한,206
싫다,206
엿,205
이런거,205
채널,205
봤었는데,205
범인,205
만들었다,204
강,204
형님,203
버렸다,202
빼고,202
나왔으면,202
이런게,202
능력,202
미소,201
상상력,201
좋았는데,201
대단하다,201
가끔,201
스케일,201
였는데,200
그리,200
카메라,200
기세,200
결론,200
다소,199
체,199
광고,198
독립영화,198
저렇게,198
없을,198
의리,198
낮은,198
cg,198
낚,198
차,197
않게,197
확실히,197
잘못,197
대안,197
그래,197
^,197
드립니다,197
대충,197
나와,196
언니,196
자막,196
메시지,196
계,195
보고싶은,195
없나,195
한계,195
있다면,195
약,195
ㅇㅇ,195
부족,195
든다,194
나를,194
고민,194
부족한,194
여성,194
어이없는,193
슬픔,193
슬프다,193
되게,193
고생,193
으로는,192
메디,192
봤다가,192
"""""""",192
<,191
않아,191
있다는,190
귀여운,190
들어,190
없지만,190
볼수록,190
마라,190
커플,190
유쾌한,190
할까,190
유,189
짱짱,189
리얼,189
밤,189
무서운,189
동생,189
우,189
방,189
해라,189
아는,189
매,189
박수,188
줌,188
리뷰,188
순수한,187
어린이,187
어색한,187
재밌었는데,187
아침,187
깊게,187
아닌듯,187
보시,187
..?,186
귀엽고,186
끝나고,186
시청자,186
필요없는,186
있네,186
괴물,185
됩니다,185
자연,185
그럼,185
웃김,185
흐름,185
로맨틱,185
용이,184
굳이,184
게이,184
폭력,184
로는,184
멋,184
써,184
포장,183
살짝,183
범죄,183
겁나,183
개도,183
개판,183
치,183
표절,182
봅니다,182
있었던,182
스럽다,182
쓰래,182
발견,181
사극,181
만들어진,181
랄,181
정말로,181
열심히,181
남는다,181
같고,181
연애,181
달,181
지도,181
진실,181
수도,180
악역,180
빨,180
여전히,180
언,180
스,180
문화,180
몸매,180
좋아서,180
포기,180
않을,180
어찌,180
인기,180
진정,179
주기,179
덕분,179
성인,179
감탄,179
일상,178
시선,178
쩐다,178
~~~~,178
혹시,178
했을,178
문,177
조폭,177
있지,177
지는,177
정서,177
심,177
독특한,177
과연,177
평범한,176
는걸,176
재밌습니다,176
퀄리티,176
잼있게,176
사는,176
보여준,176
하다가,176
표,176
떨어지는,175
보지마,175
들이,175
로서,175
10분,175
우정,175
뜻,174
젤,174
재미없네,174
상처,174
끼리,174
하루,174
병,174
하세요,174
웃겨,173
성도,173
용서,173
남녀,173
오락,173
스럽게,173
이연걸,173
와는,172
악,172
몰라도,172
하니,172
막판,172
홍콩,172
이기,171
코드,171
20년,171
정치,171
않나,171
말로,170
홍보,170
크게,170
30분,170
그럭저럭,170
갈,170
볼거리,170
=,170
죄,170
별루,169
어제,169
쉽게,169
느껴지는,169
빛,169
보라,169
좋게,169
아름답고,169
뮤지컬,168
느와르,168
국민,168
노답,168
b,168
북한,167
삼,167
보긴,167
핵,167
않,167
등장인물,167
낮아서,167
해피엔딩,167
섹스,167
끌,166
보아,166
펑펑,166
신선한,166
팔,166
가진,166
힐링,166
없지,166
으론,166
아오,165
희생,165
에서의,165
무협,165
나머지,165
아름답다,165
감명,165
반성,165
불가,164
나서,164
먼,164
버리고,164
형편,164
재미있네요,164
눈빛,164
지루해서,164
받은,163
자유,163
자식,163
하여,163
하자,163
좋습니다,163
되네요,163
~^^,163
다큐멘터리,163
있어요,162
아깝지,162
춤,162
권,162
짜증나는,162
남편,162
많다,162
본방,162
쓰,162
실감,161
보다도,161
공부,161
기술,161
올해,161
불,161
했습니다,161
암튼,161
소장,161
받고,161
행복,160
죽는줄,160
만든다,160
뜬금,160
그다지,160
열정,159
가면,159
쫌,159
없는데,159
싸움,159
만으로,159
대화,159
풀어,159
기본,158
높다,158
하려는,158
_,158
에만,158
차이,158
만들고,158
(?),158
고전,158
까지는,158
제로,157
의문,157
까진,157
입장,157
걸까,157
라지,157
오는,157
누나,157
슬프고,157
늘,157
무시,157
있습니다,157
비극,157
비주,157
보인다,156
불구,156
않지만,156
싸구려,156
종교,156
그걸,156
했어요,156
재밌었음,156
긴장,155
가볍게,155
마저,155
둘다,155
이라서,155
기적,155
지구,155
으리,155
빼고는,155
디즈니,155
&,155
모르게,154
따위,154
있네요,154
ㅠㅠㅠㅠ,154
악당,154
에게는,154
게다가,154
시사회,154
실력,153
까지도,153
아픔,153
받아서,153
언제나,153
보러,153
좀더,153
호러,153
결과,153
발전,153
뻔하고,153
드럽게,152
무섭지도,152
대가,152
딱히,152
아줌마,152
즈,152
동물,152
흑,152
반복,151
아이돌,151
과는,151
글쎄,151
이제야,151
이쁘고,151
이니,150
보길,150
하다니,150
서야,149
본인,149
단지,149
밥,149
봐요,149
러닝,149
많고,149
잊혀지지,149
방금,149
아픈,149
백,148
재밌네,148
그린,148
아름다,148
찍은,148
창,148
존경,148
재미없어요,148
나오면,148
토,148
예쁜,147
좋았던,147
분노,147
여행,147
전문가,147
맨날,146
해석,146
할말이,146
한다고,146
에로,146
꼴,146
웃긴,146
넘치는,146
외국,145
쓰고,145
연예인,145
로봇,145
선생님,145
젊은,145
평이,145
있으면,145
과의,145
라인,145
실패,144
진리,144
어머니,144
청소년,144
그거,144
와우,144
헐리우드,143
보지마라,143
새벽,143
누군가,143
벌써,143
본게,143
무언가,143
짝,143
한국인,143
오버,142
사랑스러운,142
쇼,142
돌려,142
견자단,142
외모,142
대표,142
질리,142
그렇다고,142
되서,142
방법,141
ㅋㅋㅋㅋㅋㅋ,141
보고나면,141
주기도,141
필름,141
쩝,141
없어요,141
달라,141
무섭다,141
좋,141
만족,141
좋아하는데,141
냥,140
이든,140
갑니다,140
금,140
짝퉁,140
베스트,140
재미있었다,140
최,140
성한,140
시트콤,140
방식,140
생각나는,140
내고,139
멋지다,139
봣는데,139
좋아해서,139
미드,139
이었습니다,139
굿굿,139
로만,138
전개도,138
갈등,138
과장,138
스스로,138
애기,138
죄다,138
이미지,138
김기덕,138
비판,138
자리,138
연속,138
1시간,138
세기,137
히어로,137
쵝오,137
이여,137
은근,137
이쁘다,137
팀,137
이자,137
분명,137
푹,136
헐리웃,136
떠나서,136
뛰어난,136
심장,136
12,136
명품,135
가고,135
모르겠고,135
조절,135
인가요,135
...?,135
받는,135
국내,135
딴,135
부모,135
재미있었어요,135
작은,134
싶네요,134
시각,134
맥,134
30,134
담,134
한데,133
이정,133
단순한,133
즐겁게,133
미모,133
도전,133
따뜻해지는,133
주말,133
했는지,133
학생,132
아쉽네요,132
극치,132
레전드,132
잔잔하고,132
확,132
두고,132
좋겠어요,132
편의,132
힘들다,132
희,132
재밋다,132
에피소드,131
단연,131
조합,131
안타깝다,131
쩌,131
했고,131
라이,131
남주,131
봤더니,131
흔한,131
편견,131
어휴,131
끼,131
가는줄,131
그려,131
자살,131
왜케,130
♥♥,130
유쾌하고,130
양심,130
신고,130
검색,130
하고자,129
신분,129
전반,129
신경,129
사기,129
나쁘지,129
근,129
챙겨,129
사수,129
유발,129
달달,129
보려고,129
망,129
향,129
테러,129
개성,129
모르겠지만,129
본다면,128
인해,128
보겠다,128
탄탄한,128
19,128
없,128
잔인한,128
지루했다,128
좋지만,128
한참,128
[,128
오브,128
경험,128
형사,128
카,128
크,128
영어,128
경,127
가요,127
........,127
????,127
빠져,127
이따위,127
훨,127
주변,127
봐야지,127
의외로,127
째,127
],127
묘,127
캐리,127
무척,127
없다는,127
코난,127
생활,126
도안,126
레알,126
보자,126
울었다,126
우와,126
대부분,126
포인트,126
허세,126
어려운,126
버림,126
초등학생,126
".""",126
웃기지도,126
보았습니다,125
로써,125
되는데,125
지루할,125
짜증난다,125
꽝,125
나오네,125
멋있다,125
상업,124
해주세요,124
고양이,124
마이클,124
없었던,124
하던,124
아내,124
보며,123
위대한,123
쪽,123
개뿔,123
되면,123
성장,123
만들어도,123
젠장,123
기자,123
아깝고,123
먹는,123
신선하고,123
설마,123
학년,122
마이너스,122
영혼,122
카리스마,122
",,,,",122
개막,122
C,122
기대했는데,122
왠,122
외계인,122
옆,122
개념,122
옛,122
그렇지,122
보았다,122
러브,122
얘,122
본거,121
만해,121
재밋어,121
겁니다,121
적임,121
변화,121
응원,121
멍청한,121
나오지,121
로그인,121
넘게,121
잼있어요,121
으로서,121
빠진,121
스트레스,121
명성,121
끝날,121
위로,121
그렇다,121
즐거운,121
봤,121
풍경,120
감히,120
싸이코,120
짜증나,120
정체,120
번째,120
18,120
주성치,120
한다면,120
스럽지,120
무지,120
관점,120
형제,120
등등,120
싶은데,119
피해자,119
할머니,119
롭고,119
직접,119
좋았으나,119
더불어,119
연결,119
받을,119
기만,119
잊지,119
케,119
야한다,119
듣고,119
않을까,119
않네요,119
ㄱ,118
완전히,118
유치하다,118
기준,118
유명한,118
좋았지만,118
만큼은,118
싶을,118
했다는,118
투자,118
겨,118
포르노,118
가본,118
교육,118
답답한,118
점준,118
야하는,118
칼,118
시키는,118
뒷,118
하기엔,118
착한,117
처,117
편도,117
십,117
아마,117
겨우,117
없게,117
ㅅ,117
느끼는,117
잠깐,117
?!,117
남아,117
악마,117
정의,117
초등학교,116
일품,116
ㅋㅋㅋㅋㅋㅋㅋ,116
들었다,116
빼면,116
쉬,116
M,116
으로써,116
덜,116
아아,116
세번,116
빈,116
끝나는,115
하려고,115
하나로,115
으로만,115
해결,115
와의,115
변태,115
이어서,115
왠만하면,115
국가,115
x,115
야동,115
몇몇,115
빼곤,115
효,115
크리스마스,114
투,114
공짜,114
면서,114
찾아,114
007,114
우주,114
하는건,114
행복한,114
막장드라마,114
고통,114
압권,114
가수,114
기회,114
에로영화,114
느껴진다,114
따로,113
무술,113
없습니다,113
알수,113
만들기,113
욕망,113
린,113
맞지,113
이도,113
생각나서,113
지루하게,113
확인,113
의식,113
홍콩영화,113
틈,113
시청,113
결정,112
봤는데도,112
그럴,112
세월,112
패러디,112
에나,112
내면,112
하길래,112
이용,112
정신병,112
높아,112
바다,112
배역,111
영국,111
있었지만,111
튼,111
죽는,111
베,111
예쁘고,111
놓고,111
대중,111
셈,111
씀,111
시킨,111
이보,111
니깐,111
감흥,111
드림,111
좋을,111
않아서,111
답답하고,111
괜찮은데,111
부모님,111
사진,110
DVD,110
봤네,110
어린시절,110
the,110
안습,110
탓,110
더러운,110
낮지,110
잼있다,110
똑같은,110
21,110
참으로,110
특수,110
덕,110
기법,110
망한,110
진부하고,110
지나치게,110
선물,110
인들,110
이쁨,110
비현실적,110
흥미로운,110
빵점,109
영화계,109
이상은,109
모르겠음,109
듬,109
이래서,109
15,109
흑인,109
만들다니,109
만남,109
땅,109
갑,109
전에,109
스크린,109
방영,109
재밌다고,108
최초,108
낮다,108
그건,108
해야지,108
파,108
데리,108
최강,108
훈훈한,108
의심,108
수고,108
얼마,108
내생,107
조작,107
채,107
들고,107
다시는,107
근래,107
깨,107
워,107
;;;;,107
폐지,107
이었음,107
쓰는,107
달리,107
예능,107
",.",107
낮네,107
5분,107
보네,107
우려,106
있었는데,106
루,106
단어,106
녀,106
한심한,106
칠,106
미가,106
본적,106
ㅠㅜ,106
영원히,106
색감,106
재미있습니다,106
만들면,106
거짓말,106
목,106
했나,106
깨닫게,105
상태,105
아예,105
감각,105
공포물,105
끔,105
시기,105
리즈,105
캐,105
잇는,105
전쟁영화,105
거나,105
꼬마,104
용기,104
봤을까,104
값,104
호구,104
잊을,104
삭제,104
..;;,104
설득,104
하겠다,104
갓,104
줍니다,104
냄새,104
보여준다,104
풍자,104
트,104
관련,104
감안,104
잔,104
잔뜩,104
70년,104
어울리는,104
패,103
심하게,103
이쁜,103
아역,103
빌려,103
:),103
깜짝,103
성격,103
넌,103
떨어진다,103
보통,103
여러분,103
ㅉㅉㅉ,103
있는지,103
번은,103
했으나,103
재미없게,103
다룬,103
갠,103
보던,103
바랍니다,102
성은,102
가족영화,102
명화,102
재밌,102
전율,102
하지마라,102
케릭,102
작위,102
아래,102
껏,102
갔다,102
부족하다,102
마시길,101
짜임새,101
많은데,101
같,101
장가,101
기를,101
던데,101
여러가지,101
하긴,101
하는것,101
타고,101
부부,101
점줌,101
볼려고,101
있구나,101
야한,101
아까울,101
대본,100
김,100
아닙니다,100
대놓고,100
기독교,100
11,100
동시,100
디,100
아쉽지만,100
재밌던데,100
신의,100
재난영화,100
밋,100
스런,100
배우도,100
같지,100
가득,100
오랫,100
탄,100
무섭고,99
결코,99
박,99
살면서,99
자주,99
탄생,99
여태,99
말고는,99
잼나게,99
X,99
만은,99
sf,99
명의,99
안타까운,99
만을,99
애가,98
있,98
제외,98
라이언,98
비밀,98
곡,98
앞뒤,98
맞아,98
운명,98
마이,98
ㄷㄷㄷ,98
였던,98
좋겠네요,98
버리는,98
본듯,98
웃고,98
이따,98
서는,98
필요한,98
각,98
소소한,97
읽어,97
풍,97
귀여워,97
색다른,97
포스,97
없었음,97
았,97
중요한,97
물이,97
혹은,97
아이디어,97
유치함,97
톰,97
낚시,97
무서움,97
하나같이,97
모험,97
목적,97
브루스,97
떨어지고,97
심지어,97
배우는,97
낫,97
목숨,97
승리,97
한숨,97
아동,97
A,97
골,96
태어나서,96
연인,96
철,96
사고,96
느꼈다,96
블록버스터,96
아무런,96
둘째,96
죽은,96
남네요,96
.........,96
사상,96
보구,96
없다고,96
봤다면,96
!!!!!,96
알겠는데,96
였지만,96
탈,95
보신,95
볼수있는,95
느낄수,95
빵빵,95
성하고,95
뇌,95
할듯,95
시점,95
뭐라,95
아까웠다,95
재미없었다,95
지나도,95
후속작,95
많아서,95
아니야,95
많은걸,95
팔이,95
.^^,95
소중한,95
열연,95
ㅁ,95
구나,95
만들었는지,95
첫사랑,95
감정이입,95
됐다,95
치곤,95
갖고,95
ㄷ,95
욕심,94
@,94
없는게,94
할아버지,94
매니아,94
또다른,94
아깝네,94
훌륭하다,94
했을까,94
선동,94
구리,94
틱,94
천,94
버전,94
려고,94
20분,94
높게,94
짜증나서,94
죽여,94
이었어요,94
안감,94
최대,94
재밋음,93
하아,93
통,93
요리,93
적당히,93
탑,93
같네,93
호,93
ㅋㅋㅋㅋㅋㅋㅋㅋ,93
신파,93
그만큼,93
줘,93
보여,93
있던,93
야구,93
잼있음,93
소년,93
어쩜,93
금보,93
없냐,92
시켜,92
중심,92
거부,92
성공,92
담배,92
마리,92
ㅎㅎㅎㅎ,92
해준다,92
기는,92
이상하고,92
싶지,92
무료,92
조카,92
느낀,92
치는,92
장국영,92
중독,92
된거,92
꽃,91
당황,91
배경음악,91
길게,91
억지스러운,91
수많은,91
린다,91
가능한,91
맞고,91
그야말로,91
짜증남,91
옷,91
적이네요,91
없으면,91
참신한,91
나네요,91
낚였다,91
본지,90
남은,90
주제가,90
먼가,90
종영,90
한개,90
저리,90
본건데,90
단순,90
플롯,90
대신,90
틴,90
잤다,90
사투리,90
낮게,90
쓸,90
집착,90
뭥미,89
가정,89
심형래,89
13,89
두번째,89
아냐,89
교과서,89
이런건,89
재미없어서,89
식상한,89
될듯,89
의사,89
추리,89
30년,89
